,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Bloomington,90,US,1513030500,85,44.84,-93.3,33.8,19.46
1,Sanming,20,CN,1513031028,74,26.25,117.62,34.59,2.35
2,Valdivia,0,CL,1513026000,68,-39.81,-73.25,68.0,9.17
3,Caboolture,40,AU,1513029600,57,-27.08,152.95,77.0,11.41
4,Oshikango,88,NA,1513031008,41,-17.4,15.88,81.57,6.49
5,Roswell,1,US,1513029360,40,34.02,-84.36,59.0,4.7
6,Mozdok,36,RU,1513031035,73,43.75,44.69,24.51,2.13
7,Kindia,0,GN,1513031037,75,10.06,-12.87,72.43,2.68
8,Norman Wells,75,CA,1513029600,85,65.28,-126.83,15.8,4.7
9,Lapa,40,BR,1513026000,68,-25.77,-49.72,66.2,17.22
10,Karimnagar,0,IN,1513030951,72,18.43,79.15,59.2,1.45
11,Kyzyl,68,RU,1513031042,78,51.7,94.45,-9.43,3.13
12,Stara Zagora,0,BG,1513031042,67,42.43,25.64,20.19,1.68
13,Samara,90,RU,1513027800,92,53.2,50.15,24.8,11.18
14,Melville,1,US,1513029360,48,40.79,-73.42,41.0,3.36
15,Shache,0,CN,1513031048,74,38.42,77.24,19.6,2.13
16,Eugene,40,US,1513029360,74,44.05,-123.09,39.2,8.05
17,Limeira,20,BR,1513026000,64,-22.56,-47.4,86.0,20.8
18,Mariehamn,90,AX,1513029000,100,60.1,19.93,33.8,6.93
19,Strasbourg,90,FR,1513029600,75,48.58,7.74,48.2,18.34
20,Shemonaikha,68,KZ,1513031054,70,50.63,81.91,6.28,3.91
21,Nizwa,0,OM,1513031021,67,22.93,57.53,44.13,2.68
22,Las Palmas,92,PA,1513031057,98,8.13,-81.45,69.69,2.13
23,Zhuhai,88,CN,1513029600,72,22.28,113.57,64.4,10.29
24,Sikar,76,IN,1513031059,97,27.62,75.15,55.74,5.14
25,Rasht,75,IR,1513026000,87,37.28,49.58,50.0,3.24
26,Farah,0,AF,1513031062,81,32.37,62.12,27.84,2.57
27,Bologna,75,IT,1513029300,81,44.49,11.34,46.4,3.36
28,Caldwell,90,US,1513029300,100,43.66,-116.69,30.2,3.8
29,Rockhampton,75,AU,1513029600,61,-23.38,150.5,78.8,12.75
30,Shashemene,0,ET,1513031067,59,7.2,38.6,50.25,8.16
31,Entebbe,20,UG,1513029600,94,0.06,32.45,69.8,6.93
32,As Salt,36,JO,1513026000,27,32.04,35.73,53.6,2.91
33,Eisenstadt,0,AT,1513029600,66,47.85,16.52,57.2,27.51
34,San Ramon de la Nueva Oran,56,AR,1513031074,64,-23.13,-64.33,82.38,6.6
35,Azogues,75,EC,1513026000,59,-2.73,-78.83,64.4,16.11
36,Baturite,0,BR,1513031077,48,-4.33,-38.88,84.54,9.62
37,Beaufort West,0,ZA,1513031079,38,-32.36,22.58,56.01,7.72
38,Ciudad Camargo,56,MX,1513030860,58,27.67,-105.17,52.5,4.36
39,Abaetetuba,75,BR,1513029600,88,-1.72,-48.88,78.8,2.24
40,Viljandi,56,EE,1513029000,79,58.36,25.59,28.4,9.17
41,Maputo,32,MZ,1513031085,75,-25.97,32.59,73.15,8.16
42,Opole,44,PL,1513031086,75,50.67,17.95,51.69,29.86
43,Segou,12,ML,1513031088,52,13.43,-6.22,65.91,4.81
44,Metairie,75,US,1513030500,32,29.98,-90.15,68.0,10.29
45,Capitao Poco,68,BR,1513031038,85,-1.75,-47.06,80.22,8.16
46,Zaghouan,20,TN,1513027800,50,36.4,10.14,57.2,8.05
47,Lhasa,0,CN,1513031086,63,29.65,91.1,2.73,1.68
48,Spokane,1,US,1513029480,80,47.66,-117.43,35.6,4.47
49,Ambatondrazaka,92,MG,1513031095,99,-17.83,48.42,65.55,2.35
50,Lahti,90,FI,1513029000,92,60.98,25.65,28.4,8.05
51,Thessalon,90,CA,1513030560,85,46.25,-83.57,23.0,4.7
52,Zillah,90,US,1513029180,69,46.4,-120.26,33.8,4.7
53,Macara,68,EC,1513031100,84,-4.38,-79.95,72.21,2.24
54,Butuan,68,PH,1513031101,100,8.95,125.54,74.64,1.9
55,Patos,64,BR,1513031103,32,-7.02,-37.28,87.42,6.49
56,Portland,20,US,1513029360,48,45.52,-122.68,46.4,14.99
57,Morelia,75,MX,1513028520,19,19.7,-101.18,66.2,4.25
58,Opuwo,24,NA,1513031107,52,-18.06,13.84,69.6,6.6
59,El Progreso,75,HN,1513029600,83,15.4,-87.8,71.6,3.36
60,Shantou,100,CN,1513026000,63,23.37,116.71,60.8,6.71
61,Bemidji,40,US,1513028100,67,47.47,-94.88,21.2,17.22
62,Belgrade,0,RS,1513029600,61,44.8,20.47,50.0,19.46
63,Jaffna,32,LK,1513031114,100,9.67,80.01,79.95,8.84
64,Januaria,92,BR,1513031115,100,-15.48,-44.37,69.69,3.13
65,Swan Hill,0,AU,1513031116,59,-35.34,143.55,61.81,6.15
66,Inuvik,90,CA,1513029600,85,68.35,-133.72,12.2,6.93
67,Hotan,48,CN,1513031119,74,37.1,79.93,16.59,2.13
68,Mansfield,0,GB,1513029000,88,53.13,-1.2,32.0,11.41
69,Kenora,20,CA,1513030500,71,49.82,-94.43,10.4,14.99
70,Abomey,8,BJ,1513031126,63,7.18,1.99,75.9,5.14
71,Guaymas,75,MX,1513028400,56,27.93,-110.9,73.4,10.29
72,Trang,0,TH,1513031128,94,7.56,99.61,69.24,2.68
73,Peterborough,75,GB,1513029360,100,52.57,-0.25,33.8,11.41
74,Nebbi,80,UG,1513031132,58,2.48,31.09,73.11,5.37
75,Zmeinogorsk,76,RU,1513031133,81,51.16,82.19,14.34,7.61
76,Lingyuan,0,CN,1513031134,37,41.24,119.4,-3.58,4.7
77,Mahalapye,92,BW,1513031136,91,-23.1,26.81,66.18,4.36
78,Norman,1,US,1513029360,16,35.22,-97.44,64.4,16.11
79,Santiago Ixcuintla,90,MX,1513029000,44,21.82,-105.22,77.0,8.05
80,Saida,75,DZ,1513029600,87,34.83,0.15,48.2,6.93
81,Azare,12,NG,1513031141,38,11.68,10.19,70.05,8.95
82,Burley,1,US,1513029180,55,42.54,-113.79,37.4,5.93
83,Danjiangkou,56,CN,1513031146,65,32.54,111.51,34.32,6.04
84,Narvik,0,NO,1513029000,85,68.44,17.43,19.4,2.24
85,La Rochelle,75,FR,1513029600,81,46.17,-1.15,42.8,13.87
86,Nawabganj,0,BD,1513031151,85,24.59,88.27,64.65,2.68
87,Ramla,0,IL,1513029000,66,31.93,34.87,60.8,2.24
88,Chadron,75,US,1513029180,33,42.83,-103.0,44.6,11.41
89,Smithers,20,CA,1513029600,80,54.78,-127.17,33.8,5.82
90,Lafia,48,NG,1513031156,45,8.48,8.52,78.69,4.92
91,Tena,44,EC,1513030966,93,-0.98,-77.82,69.28,1.9
92,Jeremie,88,HT,1513031161,100,18.65,-74.12,78.28,2.91
93,Qaqortoq,88,GL,1513029000,69,60.72,-46.03,35.6,6.93
94,Maceio,0,BR,1513029600,78,-9.67,-35.74,78.8,18.34
95,Columbia,1,US,1513029360,35,34.0,-81.03,57.2,4.7
96,Nakhon Si Thammarat,12,TH,1513031167,100,8.43,99.97,77.43,4.03
97,Lanxi,0,CN,1513031169,89,29.22,119.48,24.91,4.36
98,Sonsonate,20,SV,1513029000,51,13.72,-89.72,86.0,3.36
99,Capanema,76,BR,1513031171,67,-1.2,-47.18,84.4,13.2
100,Sullana,8,PE,1513031172,44,-4.9,-80.69,89.67,8.84
101,Coimbatore,40,IN,1513029600,88,11.0,76.97,73.4,1.9
102,Brovary,0,UA,1513027800,94,50.5,30.77,32.0,8.95
103,Muar,75,MY,1513026000,94,2.04,102.57,75.2,2.24
104,Yala,88,TH,1513031179,97,6.54,101.28,72.43,2.24
105,Semarang,92,ID,1513031180,99,-6.99,110.42,71.8,3.13
106,Kingston,75,JM,1513029600,88,18.0,-76.79,78.8,4.7
107,Comallo,76,AR,1513031183,25,-41.03,-70.27,83.5,7.16
108,Angarsk,0,RU,1513027800,67,52.54,103.89,-22.01,2.24
109,Dalandzadgad,0,MN,1513031185,68,43.57,104.42,4.03,7.94
110,Phrae,92,TH,1513026000,88,18.15,100.14,75.2,1.01
111,Mysore,8,IN,1513031188,88,12.31,76.65,63.88,2.35
112,Toumodi,20,CI,1513026000,83,6.56,-5.02,71.6,7.72
113,Rotterdam,90,NL,1513029300,100,51.92,4.48,41.0,16.11
114,Pensacola,40,US,1513029840,51,30.42,-87.22,64.4,11.41
115,Pedro Juan Caballero,0,PY,1513026000,51,-22.55,-55.73,86.0,9.17
116,Birmingham,20,US,1513029300,30,33.52,-86.8,62.6,10.29
117,Nigde,36,TR,1513031196,71,37.97,34.68,18.48,3.58
118,Daan,56,CN,1513031197,93,33.06,106.3,31.21,2.35
119,Ceduna,24,AU,1513031199,69,-32.12,133.67,73.15,17.78
120,Mubi,0,NG,1513031200,54,10.27,13.26,64.2,4.03
121,Marquette,90,US,1513029360,85,46.54,-87.4,24.8,5.82
122,Camana,0,PE,1513031203,100,-16.62,-72.71,65.64,7.16
123,Los Angeles,1,US,1513029480,8,34.05,-118.24,84.2,1.12
124,Kalmar,90,SE,1513029000,93,56.66,16.36,37.4,9.17
125,Villamontes,20,BO,1513031207,70,-21.25,-63.5,77.88,5.93
126,Merimbula,88,AU,1513031209,100,-36.9,149.9,64.65,3.8
127,Taraz,90,KZ,1513027800,100,42.9,71.37,17.6,2.35
128,Zhytomyr,92,UA,1513031211,95,50.26,28.68,38.82,11.63
129,Muncie,1,US,1513030500,64,40.19,-85.39,39.2,5.82
130,Guilin,90,CN,1513026000,81,25.28,110.29,53.6,2.24
131,Kattaqorgon,90,UZ,1513027800,100,39.9,66.26,26.6,4.7
132,Oum Hadjer,0,TD,1513031217,32,13.3,19.7,71.58,9.51
133,Novo Hamburgo,0,BR,1513029600,60,-29.68,-51.13,69.8,12.75
134,Garissa,0,KE,1513031220,45,-0.45,39.64,79.0,7.94
135,Kingston,75,JM,1513029600,88,18.0,-76.79,78.8,4.7
136,Konza,75,KE,1513029600,72,-1.74,37.13,64.4,6.93
137,Severouralsk,36,RU,1513031224,69,60.15,59.95,-1.33,2.46
138,Chita,0,RU,1513027800,66,52.03,113.55,-31.01,2.91
139,Gavle,88,SE,1513031227,100,60.67,17.14,32.43,6.15
140,Miaoli,40,TW,1513027800,77,24.56,120.82,62.6,4.7
141,Yoro,88,HN,1513031230,80,15.13,-87.13,64.74,3.24
142,Watertown,1,US,1513030500,50,42.37,-71.18,35.6,3.36
143,Irvine,75,US,1513029480,14,33.67,-117.82,84.2,6.93
144,Hamah,12,SY,1513031233,68,35.13,36.76,28.74,2.57
145,Gangtok,0,IN,1513031235,64,27.33,88.62,14.65,1.01
146,Orodara,0,BF,1513031236,35,10.95,-4.93,68.61,7.72
147,Kokomo,20,US,1513030500,69,40.49,-86.13,39.2,10.29
148,Minsk,75,BY,1513027800,96,53.9,27.57,32.0,4.47
149,Yasothon,64,TH,1513031241,69,15.79,104.15,72.75,8.5
150,Cranbourne,68,AU,1513029600,59,-38.1,145.28,64.4,4.7
151,Walvis Bay,48,NA,1513029600,82,-22.96,14.51,59.0,2.24
152,Kalbarri,88,AU,1513031245,98,-27.67,114.17,71.31,14.2
153,Palm Springs,1,US,1513029480,3,33.83,-116.55,82.4,4.7
154,Shuya,88,RU,1513031247,99,56.85,41.39,32.38,9.73
155,Vanadzor,0,AM,1513029600,92,40.8,44.49,14.0,2.13
156,Jinxi,0,CN,1513031272,56,30.43,116.29,27.88,6.82
157,Samut Prakan,20,TH,1513027800,83,13.6,100.6,78.8,3.36
158,Amravati,0,IN,1513031268,72,20.93,77.75,58.08,4.59
159,Saskatoon,20,CA,1513029600,97,52.12,-106.63,32.0,9.17
160,Pescara,20,IT,1513029000,32,42.46,14.21,69.8,33.33
161,Valparaiso,90,CL,1513029600,87,-33.04,-71.63,59.0,8.05
162,Thai Binh,92,VN,1513031281,100,20.45,106.33,58.8,6.71
163,Georgetown,20,GY,1513029600,83,6.8,-58.16,78.8,6.93
164,Jizzax,56,UZ,1513031284,89,40.12,67.84,22.21,3.91
165,San Pedro,90,PH,1513026000,100,14.35,121.02,77.0,3.36
166,New Braunfels,1,US,1513029360,19,29.7,-98.12,71.6,6.93
167,Yangambi,0,CD,1513031289,98,0.81,24.43,74.23,3.13
168,Bogor,75,ID,1513029600,94,-6.59,106.79,78.8,3.36
169,Calais,90,FR,1513029600,86,50.95,1.86,39.2,23.04
170,Oran,75,DZ,1513029600,87,35.69,-0.64,51.8,4.7
171,Funtua,48,NG,1513031295,36,11.52,7.31,72.84,9.06
172,Hathras,92,IN,1513031297,97,27.6,78.05,60.24,4.47
173,Pilar,0,BR,1513029600,78,-9.6,-35.96,78.8,18.34
174,Palmer,75,US,1513029360,47,42.16,-72.33,37.4,3.36
175,Vilyuysk,36,RU,1513031300,63,63.76,121.62,-34.04,3.02
176,Karlskrona,75,SE,1513029000,93,56.16,15.59,37.4,8.05
177,Linfen,12,CN,1513031305,71,36.09,111.52,16.5,1.9
178,Sukhothai,24,TH,1513031307,93,17.01,99.82,73.56,1.12
179,Lujan,0,AR,1513029600,60,-34.57,-59.1,69.8,10.29
180,Childress,1,US,1513029180,8,34.43,-100.2,69.8,12.75
181,Dasoguz,0,TM,1513027800,92,41.84,59.97,17.6,11.41
182,Lebowakgomo,20,ZA,1513029600,82,-24.2,29.5,64.4,5.82
183,Bella Bella,1,CA,1513029600,62,52.16,-128.15,51.8,3.36
184,Altdorf,90,DE,1513029000,87,49.39,11.36,42.8,12.75
185,Singleton,20,AU,1513029600,53,-32.57,151.18,77.0,11.41
186,Foumban,48,CM,1513031318,67,5.73,10.9,71.31,1.57
187,Barabinsk,76,RU,1513031319,87,55.36,78.36,16.63,6.15
188,Latacunga,75,EC,1513029600,67,-0.93,-78.62,60.8,11.41
189,Banfora,0,BF,1513031322,35,10.63,-4.77,68.61,7.72
190,Lamas,75,PE,1513029600,94,-6.42,-76.53,71.6,3.36
191,Logrono,75,ES,1513029600,86,42.47,-2.45,41.0,2.24
192,Perryville,1,US,1513029360,27,37.72,-89.86,57.2,16.11
193,Huanta,75,PE,1513029600,36,-12.93,-74.25,78.8,13.87
194,Daqing,0,CN,1513031329,60,46.58,125.0,-6.95,13.42
195,Lahore,90,PK,1513029300,87,31.55,74.34,57.2,4.7
196,Ndalatando,48,AO,1513031332,81,-9.3,14.91,70.95,2.13
197,Jasper,1,US,1513029360,47,38.39,-86.93,53.6,12.75
198,Tolyatti,90,RU,1513029600,92,53.53,49.35,24.8,11.18
199,Novoshakhtinsk,20,RU,1513029600,80,47.76,39.93,41.0,8.95
200,Agartala,80,IN,1513031348,97,23.84,91.28,67.48,2.68
201,Parintins,0,BR,1513031351,76,-2.63,-56.74,85.17,1.68
202,Blacksburg,1,US,1513029300,42,37.23,-80.41,48.2,3.91
203,Daru,88,PG,1513031358,100,-9.08,143.21,78.96,6.15
204,Bielefeld,75,DE,1513030800,100,52.03,8.53,44.6,4.7
205,Scottsdale,1,US,1513029480,9,33.51,-111.9,75.2,3.36
206,Machiques,64,VE,1513031362,64,10.06,-72.55,77.88,4.59
207,Mananjary,92,MG,1513031364,100,-21.22,48.33,74.95,6.15
208,Millerovo,76,RU,1513031365,90,48.92,40.4,37.29,12.64
209,Bunbury,20,AU,1513031366,86,-33.33,115.63,64.33,13.09
210,Sambalpur,0,IN,1513031329,82,21.45,83.97,61.5,2.8
211,Racine,90,US,1513030380,100,42.73,-87.78,35.6,4.7
212,Maradi,0,NE,1513031370,40,13.5,7.1,63.75,7.38
213,Vac,0,HU,1513029600,66,47.78,19.14,51.8,21.92
214,Motupe,0,PE,1513029600,68,-6.15,-79.71,71.6,21.92
215,Arlit,8,NE,1513031374,44,18.74,7.39,51.73,2.91
216,Pardubice,0,CZ,1513029600,71,50.04,15.78,51.8,24.16
217,Gornyak,76,RU,1513031378,89,50.99,81.47,12.72,9.62
218,Parry Sound,64,CA,1513031167,62,45.35,-80.03,11.37,3.13
219,Gwadar,0,PK,1513031380,95,25.12,62.33,60.1,5.37
220,Petrozavodsk,92,RU,1513029600,97,61.78,34.35,33.8,2.24
221,Huntsville,1,US,1513029480,52,34.73,-86.59,60.8,10.29
222,Medellin,75,CO,1513029600,57,6.25,-75.56,75.2,2.24
223,Fria,0,GN,1513031385,78,10.45,-13.53,76.93,7.27
224,Ely,75,GB,1513029360,90,52.4,0.26,33.8,11.41
225,Montes Claros,90,BR,1513026000,100,-16.74,-43.86,69.8,5.82
226,Mwanza,20,TZ,1513026000,94,-2.52,32.9,69.8,6.26
227,Hamilton,90,CA,1513030380,92,43.23,-79.95,26.6,3.36
228,Visalia,1,US,1513029360,44,36.33,-119.29,60.8,4.7
229,Kendari,56,ID,1513031393,99,-3.94,122.5,73.83,2.01
230,Bartlesville,1,US,1513029300,14,36.75,-95.98,66.2,5.82
231,Tyler,1,US,1513029300,11,32.35,-95.3,75.2,13.87
232,Berekum,0,GH,1513031397,70,7.45,-2.58,70.77,3.36
233,Wetaskiwin,75,CA,1513029600,74,52.97,-113.37,35.6,3.36
234,Kibale,64,UG,1513031400,73,0.8,31.07,69.33,2.91
235,Hobart,20,AU,1513029600,55,-42.88,147.33,66.2,9.17
236,Buenos Aires,0,AR,1513029600,60,-34.61,-58.38,69.8,13.87
237,Kalachinsk,68,RU,1513031406,84,55.05,74.58,11.33,7.52
238,Khabarovsk,40,RU,1513029600,71,48.48,135.09,8.6,17.9
239,Arctic Bay,48,CA,1513031409,73,73.03,-85.17,-3.12,3.27
240,Salluit,40,CA,1513029600,77,62.2,-75.63,3.2,14.99
241,Leiria,75,PT,1513029600,76,39.74,-8.81,48.2,4.7
242,Izamal,75,MX,1513028640,53,20.93,-89.02,73.4,8.05
243,Abeokuta,0,NG,1513026000,83,7.15,3.35,80.6,2.24
244,Jieshou,64,CN,1513031417,77,33.26,115.36,32.48,12.33
245,Nangong,0,CN,1513031419,62,37.36,115.37,16.78,5.61
246,Dover,1,US,1513029480,60,39.16,-75.52,41.0,3.6
247,Villanueva,75,HN,1513029600,83,15.32,-88.0,71.6,3.36
248,Kiselevsk,68,RU,1513031423,66,53.99,86.66,2.42,2.59
249,Marrakesh,75,MA,1513029600,76,31.63,-8.01,48.2,4.7
250,Eldorado,0,BR,1513031229,64,-23.79,-54.28,82.38,9.62
251,Mumbai,0,IN,1513027800,78,19.01,72.85,73.4,4.36
252,Araxa,75,BR,1513029600,83,-19.59,-46.94,75.2,9.17
253,Mercedes,0,AR,1513031340,32,-34.65,-59.43,79.18,7.49
254,Lautoka,40,FJ,1513029600,70,-17.62,177.47,84.2,6.93
255,Al Hudaydah,0,YE,1513031432,85,14.8,42.95,59.75,3.38
