,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
256,Maintirano,80,MG,1513031434,100,-18.07,44.02,82.39,9.98
257,Jacarezinho,64,BR,1513031436,54,-23.16,-49.97,77.89,16.13
258,Cleveland,90,US,1513030500,80,41.5,-81.7,32.0,9.17
259,Namanga,48,KE,1513031438,79,-2.54,36.79,61.06,6.17
260,Pingxiang,0,CN,1513031440,69,27.62,113.85,29.6,2.59
261,Las Tablas,64,PA,1513031441,93,7.77,-80.28,75.91,2.37
262,Haapsalu,92,EE,1513031442,100,58.94,23.54,35.63,18.7
263,Granada,75,ES,1513029600,93,37.19,-3.61,42.8,2.24
264,Lezhe,75,AL,1513029000,47,41.78,19.64,57.2,9.17
265,Akita,75,JP,1513028400,80,39.72,140.12,30.2,25.28
266,Klamath Falls,1,US,1513029180,36,42.22,-121.78,44.6,2.48
267,Crescent City,1,US,1513029360,25,41.76,-124.2,69.8,4.7
268,Angol,0,CL,1513031451,66,-37.8,-72.72,67.9,7.52
269,Pangnirtung,20,CA,1513029600,77,66.15,-65.71,1.4,3.36
270,Hai Duong,75,VN,1513027800,87,20.93,106.32,59.0,3.36
271,Iloilo,92,PH,1513031456,98,10.7,122.56,76.09,2.71
272,Mityana,20,UG,1513029600,94,0.42,32.02,69.8,6.93
273,Sao Luis,0,BR,1513029600,83,-2.53,-44.3,80.6,12.75
274,Mahajanga,20,MG,1513026000,88,-15.72,46.32,77.0,4.7
275,Prachin Buri,68,TH,1513031462,92,14.05,101.37,73.43,2.71
276,Beira,40,MZ,1513029600,88,-19.84,34.84,75.2,4.7
277,Willemstad,20,CW,1513029600,69,12.11,-68.93,80.6,4.7
278,Kristiansand,48,NO,1513029000,74,58.15,8.0,30.2,11.41
279,Arua,0,UG,1513031467,77,3.02,30.91,65.33,3.94
280,Kirksville,90,US,1513029300,65,40.19,-92.58,44.6,20.8
281,Tebingtinggi,20,ID,1513027800,94,3.33,99.16,77.0,4.7
282,Chuxiong,0,CN,1513031471,84,25.04,101.55,42.7,3.71
283,Swansea,8,GB,1513030800,100,51.62,-3.94,35.6,8.05
284,Cobija,75,BO,1513029600,66,-11.03,-68.77,87.8,3.36
285,Pingtung,75,TW,1513029600,68,22.67,120.49,66.2,1.12
286,Turpan,48,CN,1513031481,66,42.93,89.17,10.97,2.93
287,Kondopoga,92,RU,1513029600,94,62.21,34.26,33.8,2.24
288,Colon,40,PA,1513029600,78,9.36,-79.9,80.6,14.99
289,Dodoma,8,TZ,1513031485,83,-6.17,35.74,65.38,4.5
290,Miri,75,MY,1513026000,100,4.41,114.01,75.2,3.36
291,Watsa,0,CD,1513031489,86,3.04,29.54,63.85,0.36
292,Ulladulla,75,AU,1513029600,73,-35.35,150.47,71.6,5.17
293,Pisco,20,PE,1513029600,77,-13.7,-76.22,69.8,4.7
294,Antsirabe,68,MG,1513031497,92,-19.85,47.03,55.93,2.71
295,Pakalongan,88,ID,1513031498,97,-7.47,108.11,69.25,2.04
296,Cairns,20,AU,1513029600,65,-16.92,145.77,82.4,10.29
297,Saginaw,90,US,1513030740,86,43.42,-83.95,28.4,9.17
298,Upata,88,VE,1513031501,78,8.01,-62.4,75.73,7.63
299,Berri,0,AU,1513031503,77,-34.28,140.6,77.21,5.28
300,Biratnagar,0,NP,1513031504,80,26.48,87.28,58.99,2.48
301,Bayamo,90,CU,1513029180,94,20.38,-76.64,71.6,9.17
302,Oxford,0,GB,1513030800,86,51.75,-1.26,32.0,12.75
303,Volksrust,0,ZA,1513031508,87,-27.37,29.88,59.48,9.08
304,Izhevsk,80,RU,1513031510,78,56.85,53.23,2.29,6.96
305,Sotouboua,0,TG,1513031512,57,8.57,0.98,66.46,2.71
306,Cloncurry,0,AU,1513031514,32,-20.7,140.5,91.97,9.64
307,Chiclayo,0,PE,1513029600,68,-6.77,-79.84,71.6,21.92
308,Augusta,1,US,1513030500,72,33.47,-81.97,60.8,4.7
309,Mansa,92,IN,1513031519,97,29.98,75.38,57.1,9.98
310,Pueblo,1,US,1513029480,8,38.25,-104.61,60.8,13.87
311,Bondo,20,CD,1513031522,67,3.81,23.69,76.76,2.93
312,Maraba,12,BR,1513029600,94,-5.37,-49.12,80.6,3.36
313,Paraguari,0,PY,1513029600,33,-25.62,-57.15,89.6,13.87
314,Gainesville,1,US,1513029300,35,29.65,-82.32,60.8,5.82
315,Beipiao,0,CN,1513031527,33,41.79,120.78,-1.32,7.63
316,Chongqing,88,CN,1513029600,66,29.56,106.55,51.8,4.47
317,Gila Bend,1,US,1513029300,57,32.95,-112.72,75.2,5.82
318,Granada,75,ES,1513029600,93,37.19,-3.61,42.8,2.24
319,Ulyanovsk,90,RU,1513029600,92,54.33,48.4,26.6,17.9
320,Volos,0,GR,1513029000,75,39.37,22.95,42.8,5.82
321,Pingdingshan,44,CN,1513031538,52,33.74,113.3,30.5,11.21
322,Trancas,64,AR,1513031540,89,-26.23,-65.28,62.72,3.27
323,Proddatur,0,IN,1513031258,84,14.73,78.55,64.56,3.58
324,Willmar,1,US,1513030500,73,45.12,-95.04,30.2,20.8
325,San Felipe,0,VE,1513031245,53,10.34,-68.74,81.3,4.36
326,Pangkalpinang,48,ID,1513031546,96,-2.13,106.13,78.7,4.83
327,Malmo,1,US,1513029900,65,34.27,-78.1,48.2,3.6
328,Streaky Bay,0,AU,1513031548,52,-32.8,134.22,83.65,14.0
329,Broome,40,AU,1513029600,79,-17.97,122.23,86.0,10.29
330,Itamaraju,80,BR,1513031551,96,-17.04,-39.53,71.86,5.95
331,Inta,68,RU,1513031552,73,66.03,60.17,14.44,6.06
332,Nazret,0,ET,1513031555,68,8.55,39.27,40.22,4.05
333,Sovetsk,92,RU,1513031556,96,55.08,21.88,40.31,13.44
334,Lubumbashi,88,CD,1513031558,100,-11.66,27.48,64.61,3.6
335,Nueva Ocotepeque,0,HN,1513029000,40,14.43,-89.18,73.4,9.17
336,Pokhara,0,NP,1513031563,75,28.23,83.98,36.17,1.92
337,Joacaba,0,BR,1513031564,61,-27.18,-51.5,62.86,3.94
338,Maringa,0,BR,1513026000,51,-23.43,-51.94,84.2,4.7
339,Allentown,40,US,1513030500,55,40.61,-75.49,37.4,2.48
340,Paulo Afonso,32,BR,1513031570,60,-9.41,-38.21,79.01,5.95
341,Patna,0,IN,1513026000,88,25.6,85.12,64.4,2.59
342,Male,20,MV,1513026000,69,4.17,73.51,80.6,5.82
343,Antigua Guatemala,75,GT,1513029600,67,14.56,-90.73,57.2,23.04
344,George,92,ZA,1513029600,87,-33.96,22.46,59.0,2.24
345,Murmansk,75,RU,1513029600,79,68.98,33.09,26.6,4.47
346,Yulara,0,AU,1513029600,19,-25.24,130.99,78.8,5.82
347,Mekoryuk,90,US,1513029360,86,60.39,-166.19,28.4,16.11
348,Cabo Frio,75,BR,1513029600,88,-22.88,-42.02,78.8,9.17
349,Balcarce,0,AR,1513029600,72,-37.85,-58.26,60.8,11.41
350,Paro,0,BT,1513031586,86,27.43,89.41,12.28,1.7
351,Antwerpen,92,BE,1513031100,80,51.22,4.4,35.6,11.41
352,Encarnacion,0,PY,1513029600,25,-27.33,-55.9,87.8,8.05
353,Tlaxcala,40,MX,1513028520,11,19.31,-98.24,68.0,8.05
354,Agen,75,FR,1513029600,87,44.2,0.63,44.6,11.41
355,Chalatenango,0,SV,1513029000,44,14.03,-88.93,86.0,13.87
356,Saint-Louis,0,SN,1513029600,64,16.02,-16.49,69.8,4.7
357,Basel,75,CH,1513029600,70,47.56,7.57,44.6,5.82
358,Mesa,75,US,1513029480,8,33.42,-111.82,75.2,3.36
359,Charleville,0,AU,1513029600,37,-26.4,146.25,82.4,11.41
360,Sheboygan,75,US,1513029360,80,43.75,-87.71,32.0,3.36
361,San Cristobal,32,VE,1513031376,69,7.77,-72.22,73.33,1.57
362,Villa Union,90,MX,1513028640,32,23.2,-106.23,82.4,2.59
363,McAllen,1,US,1513029300,30,26.2,-98.23,71.6,2.93
364,Slantsy,56,RU,1513031606,100,59.12,28.09,23.12,8.75
365,Veracruz,75,MX,1513028580,49,19.2,-96.13,73.4,12.75
366,Mehtar Lam,75,AF,1513029360,93,34.67,70.21,46.4,2.26
367,Moanda,48,GA,1513031611,97,-1.56,13.22,67.81,2.59
368,Ponte Nova,92,BR,1513031612,100,-20.42,-42.91,65.2,3.38
369,Fort-de-France,0,MQ,1513029600,78,14.61,-61.07,78.8,3.36
370,Timisoara,0,RO,1513029600,57,45.75,21.23,51.8,16.11
371,Zinder,0,NE,1513031616,40,13.81,8.99,59.57,8.63
372,Norseman,0,AU,1513031617,54,-32.2,121.77,81.35,6.4
373,Castillos,0,UY,1513031620,81,-34.17,-53.83,59.35,7.85
374,Porto Uniao,8,BR,1513031622,48,-26.24,-51.08,66.23,2.71
375,Cienaga,0,CO,1513029600,74,11.01,-74.25,89.6,11.41
376,Itapecuru Mirim,0,BR,1513031627,72,-3.39,-44.36,80.45,9.75
377,Glasgow,0,GB,1513030800,86,55.87,-4.26,35.6,8.05
378,Cancun,75,MX,1513028880,77,21.17,-86.85,69.8,5.82
379,Kakinada,0,IN,1513031632,84,16.93,82.22,71.41,2.15
380,Mogadishu,8,SO,1513031559,99,2.04,45.34,80.05,23.29
381,Kampong Thum,0,KH,1513031635,75,12.71,104.89,74.2,8.19
382,Kouroussa,0,GN,1513031636,57,10.65,-9.88,64.7,3.71
383,Warri,20,NG,1513031637,93,5.52,5.75,73.7,2.93
384,Chon Buri,20,TH,1513027800,83,13.36,100.98,78.8,3.36
385,Voi,48,KE,1513031642,75,-3.39,38.56,71.23,5.06
386,Nuevo Laredo,1,MX,1513029360,30,27.48,-99.52,69.8,4.7
387,Bareilly,92,IN,1513031445,92,28.35,79.42,59.35,2.71
388,Kremenchuk,88,UA,1513031647,92,49.1,33.42,39.1,10.42
389,San Luis Potosi,20,MX,1513031390,28,22.15,-100.98,59.34,4.92
390,Isparta,40,TR,1513029000,93,38.0,31.0,37.4,4.7
391,Cleburne,1,US,1513029480,8,32.35,-97.39,78.8,9.17
392,Kilis,20,TR,1513029000,92,36.72,37.12,30.2,4.61
393,Lagos de Moreno,90,MX,1513028820,12,21.35,-101.92,66.2,6.93
394,Como,75,IT,1513029000,100,45.81,9.09,37.4,6.93
395,Shaoguan,0,CN,1513031659,79,24.8,113.58,41.93,2.26
396,Guymon,1,US,1513030500,11,36.68,-101.48,64.4,17.22
397,Leon,90,MX,1513028700,14,21.12,-101.67,66.2,2.04
398,Artashat,0,AM,1513029600,92,39.96,44.54,24.8,1.59
399,Talara,0,PE,1513029600,69,-4.58,-81.27,73.4,18.34
400,New Iberia,1,US,1513030500,59,30.0,-91.82,68.0,10.29
401,Tazovskiy,68,RU,1513031667,83,67.47,78.7,13.36,17.36
402,Vila Velha,75,BR,1513029600,100,-20.33,-40.29,78.8,12.75
403,Feira de Santana,76,BR,1513031670,94,-12.27,-38.97,73.03,2.71
404,Le Mans,75,FR,1513029600,80,48.0,0.2,41.0,5.82
405,Gulu,0,UG,1513031674,49,2.77,32.3,66.68,9.42
406,Hindupur,0,IN,1513031675,81,13.83,77.49,59.75,3.71
407,Mpwapwa,92,TZ,1513031677,93,-6.35,36.48,64.52,2.71
408,Jonesboro,1,US,1513029360,29,35.84,-90.7,68.0,14.99
409,South Bend,40,US,1513030500,86,41.68,-86.25,35.6,9.17
410,Maladzyechna,36,BY,1513031682,95,54.32,26.86,34.37,14.45
411,Matagami,90,CA,1513029600,84,49.75,-77.63,-0.41,4.7
412,Kambove,92,CD,1513031685,99,-10.88,26.6,64.21,2.59
413,Poznan,0,PL,1513031400,87,52.41,16.93,42.8,6.93
414,Ciudad Obregon,20,MX,1513028520,23,27.48,-109.93,84.2,2.24
415,Mariestad,80,SE,1513030800,92,58.71,13.82,30.2,10.29
416,Velsk,88,RU,1513031690,91,61.07,42.1,27.76,10.76
417,Nuevo Casas Grandes,44,MX,1513031691,71,30.42,-107.92,42.47,2.82
418,Santiago de Compostela,40,ES,1513029600,100,42.88,-8.55,50.0,2.24
419,Hargeysa,0,SO,1513031694,75,9.56,44.06,40.76,7.07
420,Flagstaff,1,US,1513029420,11,35.2,-111.65,60.8,8.05
421,Burnie,0,AU,1513031696,93,-41.07,145.92,63.76,13.78
422,Charleroi,75,BE,1513030800,97,50.41,4.45,33.8,9.17
423,Salinas,1,US,1513029300,13,36.68,-121.66,73.4,6.93
424,Niquelandia,92,BR,1513031700,98,-14.47,-48.46,68.44,1.59
425,Gallup,1,US,1513029180,9,35.53,-108.74,55.4,4.7
426,Biarritz,92,FR,1513029600,87,43.48,-1.56,44.6,8.05
427,Novocherkassk,20,RU,1513029600,80,47.42,40.09,41.0,8.95
428,Cucuta,44,CO,1513031411,100,7.88,-72.51,64.88,1.36
429,Nova Cruz,40,BR,1513029600,78,-6.48,-35.43,80.6,5.82
430,Junin,0,AR,1513031708,34,-34.58,-60.94,69.56,7.74
431,Merredin,0,AU,1513031709,48,-31.48,118.27,79.46,5.28
432,Mulanje,88,MW,1513031710,98,-16.03,35.5,68.3,2.93
433,Outjo,92,NA,1513029600,24,-20.12,16.15,71.6,3.36
434,Apatity,80,RU,1513031714,78,67.56,33.4,20.6,2.26
435,Bogotol,88,RU,1513031715,85,56.21,89.53,10.75,2.93
436,Barletta,0,IT,1513029000,82,41.31,16.29,57.2,8.05
437,Brussels,75,BE,1513031100,86,50.85,4.35,35.6,13.87
438,Viet Tri,75,VN,1513027800,87,21.3,105.43,59.0,3.36
439,Nelson,8,NZ,1513031722,35,-41.28,173.28,75.95,4.94
440,Hassi Messaoud,0,DZ,1513029600,40,31.68,6.07,53.6,8.05
441,Yuma,20,US,1513029420,6,32.73,-114.62,78.8,11.41
442,Chiquimula,24,GT,1513031726,69,14.8,-89.55,62.23,3.38
443,Bati,0,ET,1513031727,79,11.18,40.02,46.66,1.92
444,Recife,20,BR,1513029600,78,-8.05,-34.88,80.6,8.05
445,Port Lincoln,24,AU,1513031730,72,-34.73,135.87,74.78,10.65
446,Rinconada,75,MX,1513028580,49,19.35,-96.52,73.4,12.75
447,Sanniquellie,0,LR,1513031733,85,7.36,-8.71,69.2,4.61
448,At Tafilah,0,JO,1513031734,79,30.84,35.6,39.5,1.36
449,Rustavi,0,GE,1513029600,70,41.55,44.99,42.8,13.87
450,Benxi,0,CN,1513029600,44,41.29,123.77,-0.41,4.47
451,Gisenyi,8,RW,1513031739,100,-1.7,29.26,54.53,1.36
452,Ngaoundere,24,CM,1513031740,59,7.32,13.58,62.0,6.17
453,Naberezhnyye Chelny,75,RU,1513029600,92,55.76,52.43,15.8,8.95
454,Sotik,12,KE,1513031743,83,-0.68,35.12,52.1,5.73
455,Chos Malal,8,AR,1513031744,81,-37.38,-70.27,58.99,1.92
456,Jerusalem,0,IL,1513029000,66,31.77,35.22,51.8,2.24
457,Durban,92,ZA,1513031746,100,-29.86,31.03,68.44,15.01
458,Gbadolite,36,CD,1513031748,64,4.28,21.02,75.55,3.71
459,Masan,0,KR,1513029600,53,35.21,128.57,21.2,3.36
460,Villa Hayes,0,PY,1513029600,33,-25.09,-57.52,89.6,13.87
461,Aranyaprathet,12,TH,1513031752,91,13.69,102.5,73.66,5.39
462,La Serena,90,CL,1513029600,77,-29.91,-71.25,60.8,8.05
463,Canton,90,US,1513030500,92,42.31,-83.48,32.0,8.05
464,Salamanca,0,ES,1513031496,88,40.97,-5.65,29.96,8.52
465,Haarlem,75,NL,1513031220,97,52.38,4.64,41.0,12.75
466,As Sulayyil,0,SA,1513029600,36,20.46,45.58,48.2,6.93
467,Taizhou,20,CN,1513031759,90,32.49,119.91,31.22,8.19
468,Cranbrook,90,CA,1513029600,85,49.5,-115.77,19.4,2.24
469,Merauke,8,ID,1513031762,93,-8.47,140.33,85.63,7.18
470,Juticalpa,40,HN,1513026000,69,14.65,-86.2,77.0,4.7
471,Jimani,40,DO,1513029600,74,18.49,-71.85,82.4,9.17
472,Ilorin,12,NG,1513031766,51,8.5,4.55,74.87,3.27
473,Milan,1,US,1513030500,25,35.92,-88.76,64.4,12.75
474,Adelaide,0,AU,1513027800,46,-34.93,138.6,69.8,5.82
475,Rochester,90,US,1513029300,85,43.15,-77.62,28.4,10.29
476,Hirosaki,75,JP,1513030740,92,40.59,140.47,23.0,19.46
477,La Ligua,90,CL,1513029600,87,-32.45,-71.23,59.0,8.05
478,Evora,0,PT,1513029600,87,38.57,-7.9,42.8,13.87
479,Urubamba,80,PE,1513031776,81,-13.3,-72.12,47.65,1.92
480,Huajuapan de Leon,0,MX,1513031777,35,17.8,-97.77,54.85,3.94
481,Hopkinsville,1,US,1513029480,33,36.87,-87.49,57.2,16.11
482,Seville,75,US,1513030500,65,41.01,-81.86,33.8,9.17
483,Ras al Khaymah,20,AE,1513029600,72,25.79,55.94,71.6,8.05
484,Kaesong,0,KP,1513029600,51,37.97,126.55,14.0,4.7
485,Odessa,0,UA,1513029600,81,46.48,30.73,42.8,8.95
486,Galesburg,90,US,1513030500,65,40.95,-90.37,42.8,21.92
487,Phitsanulok,88,TH,1513031787,95,16.82,100.26,73.07,1.59
488,Jau,40,BR,1513026000,33,-22.3,-48.56,91.4,4.7
489,Kiama,75,AU,1513029600,73,-34.68,150.87,71.6,4.16
490,Marilia,92,BR,1513031791,39,-22.21,-49.95,83.51,5.17
491,Kosti,0,SD,1513031794,41,13.16,32.66,73.88,11.43
492,NDjamena,0,TD,1513029600,35,12.11,15.04,71.6,6.93
493,Erechim,20,BR,1513026000,32,-27.63,-52.27,80.6,13.87
494,Kavieng,92,PG,1513031798,100,-2.57,150.8,81.08,10.76
495,Cruzeiro do Sul,0,BR,1513031799,58,-29.51,-51.99,64.21,6.29
496,Sasovo,92,RU,1513031800,93,54.35,41.92,29.74,13.22
497,Mary,5,TM,1513029600,79,37.59,61.83,24.8,6.93
498,Koriyama,75,JP,1513029600,100,37.4,140.38,30.2,4.7
499,Ishim,92,RU,1513031805,88,56.11,69.49,15.02,3.27
500,Pittsfield,1,US,1513029360,63,42.45,-73.25,35.6,3.36
501,Baraki Barak,12,AF,1513029000,86,33.97,68.95,28.4,1.12
502,Dalian,40,CN,1513029600,47,38.91,121.6,14.0,6.71
503,Catania,0,IT,1513029000,93,37.5,15.09,55.4,5.82
504,Danville,1,US,1513029900,56,36.59,-79.4,51.8,4.7
505,Yining,0,CN,1513031814,70,29.04,114.56,22.22,2.37
506,Frutal,0,BR,1513031816,66,-20.02,-48.94,75.32,2.93
507,Pirassununga,75,BR,1513029600,51,-22.0,-47.43,82.4,9.17
508,Puerto Escondido,75,MX,1513028400,61,15.85,-97.07,78.8,9.17
509,Simao,0,CN,1513031821,87,22.79,100.97,49.54,1.81
510,Syracuse,90,US,1513029660,79,43.05,-76.15,26.6,5.82
